WKT,CURRENCY,PLAN_ACCUR,FEATSOURCE,BASIN,SDL_ID,FEAT_TYPE,VOL_ML_EST,SURFAREAM2,VIC_DAM_ID,ORIG_OBJID,FARMDAM_YN,RUNOFF_DAM,y,x,PerimM2,AreaM2
"MULTIPOLYGON (((144.1330345 -36.802892501,144.1329805 -36.8028955,144.132910501 -36.802891,144.132847 -36.8028685,144.13282 -36.80285,144.1328035 -36.8028145,144.132824 -36.8026205,144.1328315 -36.802578,144.132843999 -36.802556,144.132864 -36.8025355,144.1328925 -36.802523499,144.132928001 -36.802516501,144.1331135 -36.80254,144.133125001 -36.8025495,144.1331305 -36.802562,144.133114999 -36.802812,144.1331045 -36.802848001,144.133086001 -36.802874999,144.1330635 -36.80289,144.1330345 -36.802892501)))",2005,+/- 5m,Satellite imagery,Loddon,4070501,Town Rural Storage,1.03035649,1056.25186027,AllVicPoly200732,204480,Y,Y,-36.8028955,144.1328035,122.955,1055.0639062013754
"MULTIPOLYGON (((141.513486179 -36.673432656,141.51359599 -36.673039283,141.51360989 -36.673023993,141.51363074 -36.673019823,141.51364325 -36.673019823,141.51369746 -36.673036503,141.513712751 -36.673042063,141.513716921 -36.673057354,141.51361823 -36.673436826,141.51361406 -36.673450726,141.51360155 -36.673457676,141.513504249 -36.673450726,141.513490349 -36.673449336,141.513486179 -36.673432656)))",feb2010,+/- 5m,Aerial Imagery,Millicent Coast,439,Rural Storage,0.42810361,543.35434305,AllVicPoly215283,219271,Y,Y,-36.6734577,141.5134862,116.152,543.7621007847389
"MULTIPOLYGON (((143.124234 -35.2631785,143.1238685 -35.263187999,143.123855 -35.263,143.124233499 -35.262997,143.124234 -35.2631785)))",2005,+/- 5m,Satellite imagery,Avoca,408,Rural Storage,0.59192371,694.35557875,AllVicPoly004034,4064,Y,N,-35.263188,143.123855,108.749,694.2708353050546
"MULTIPOLYGON (((145.011288503 -37.134300779,145.01127946 -37.134446597,145.011270417 -37.134463552,145.01125233 -37.134470334,145.01121842 -37.134470335,145.011046605 -37.134460161,145.011027388 -37.134453378,145.011019475 -37.134439813,145.011019476 -37.134412685,145.011028518 -37.13439234,145.011132511 -37.1342962579999,145.0111879 -37.134271391,145.011231985 -37.134265737,145.011255723 -37.134267999,145.011276069 -37.134277042,145.011288503 -37.134300779)))",Jan2010,+/- 5m,Aerial Imagery,Goulburn,4051507,Rural Storage,0.29678007,411.77569923,AllVicPoly097564,99411,Y,Y,-37.1344703,145.0110195,78.048,410.8181832350812
"MULTIPOLYGON (((144.368066 -36.8867485,144.367911499 -36.886812499,144.3678695 -36.886810499,144.367821001 -36.886788,144.367739 -36.8866865,144.367739 -36.886647,144.3677525 -36.886563,144.367783499 -36.886530001,144.3678405 -36.886508,144.368024 -36.886475,144.368055001 -36.886488001,144.368085499 -36.886528,144.368119 -36.886594,144.368121 -36.886656,144.3681035 -36.886711,144.368066 -36.8867485)))",2005,+/- 5m,Satellite imagery,Campaspe,4060302,Rural Storage,0.92013207,969.5692912,AllVicPoly070101,71628,Y,Y,-36.8868125,144.367739,113.191,968.1888672041699
"MULTIPOLYGON (((143.1509865 -35.712536501,143.150976 -35.712321501,143.150998001 -35.712226999,143.1510655 -35.7121755,143.1511735 -35.7121555,143.151336499 -35.7121585,143.151429 -35.712195,143.151498 -35.7122615,143.1515205 -35.7123885,143.1515185 -35.712499,143.1514855 -35.7125559999999,143.1514275 -35.712595,143.151376 -35.71261,143.151075001 -35.7126125,143.151017 -35.712591501,143.1509865 -35.712536501)))",2005,+/- 5m,Satellite imagery,Avoca,408,Rural Storage,2.74494354,2217.34648491,AllVicPoly002739,2755,Y,N,-35.7126125,143.150976,171.573,2217.0495384981227
"MULTIPOLYGON (((145.539198179 -38.571291337,145.53925082 -38.571192322,145.539262722 -38.57117634,145.539274463 -38.571166734,145.539290616 -38.571158657,145.539314847 -38.571157042,145.539341803 -38.571157042,145.539369191 -38.571160974,145.539621486 -38.571232022,145.539645024 -38.571241803,145.539658917 -38.571250732,145.539665377 -38.571266886,145.539662147 -38.571289501,145.539589919 -38.571457538,145.539576976 -38.571479206,145.539561995 -38.571493034,145.53954261 -38.571499496,145.53952161 -38.571501111,145.539495766 -38.571496265,145.539328899 -38.571428109,145.539238863 -38.571393084,145.53921954 -38.571386422,145.539200396 -38.571375449,145.539192666 -38.571368209,145.53918885 -38.571360576,145.539185619 -38.571336347,145.539188041 -38.571315771,145.539198179 -38.571291337)))",Jan2010,+/- 5m,Aerial Imagery,South Gippsland,2270109,Rural Storage,1.07560509,1091.17393342,AllVicPoly292961,298505,Y,Y,-38.5715011,145.5391856,124.868,1087.832189614912
"MULTIPOLYGON (((146.551348 -36.168219,146.5512005 -36.1682685,146.5508755 -36.168247501,146.5508335 -36.168103,146.550859 -36.167964,146.5509945 -36.167855,146.551166 -36.1678505,146.551301 -36.167851,146.551533 -36.1679815,146.551532499 -36.1681105,146.551348 -36.168219)))",2005,+/- 5m,Satellite imagery,Ovens,4031003,Rural Storage,2.95878788,2346.88284528,AllVicPoly253139,258324,Y,Y,-36.1682685,146.5508335,180.745,2334.3876687507577
"MULTIPOLYGON (((143.703352487 -37.512633381,143.703296334 -37.512708898,143.703263416 -37.512722453,143.70321888 -37.512722453,143.703112382 -37.512685662,143.703094955 -37.51266049,143.703091083 -37.512619827,143.703199517 -37.512466857,143.703222753 -37.512459112,143.703340869 -37.512468793,143.70339315 -37.512497838,143.703412513 -37.512532692,143.703352487 -37.512633381)))",Mar2010,+/- 5m,Aerial Imagery,Hopkins River,2360307,Rural Storage,0.45431933,568.35371126,AllVicPoly132709,134788,Y,Y,-37.5127225,143.7030911,89.393,568.0165935270097
"MULTIPOLYGON (((144.167139999 -37.288929001,144.1672075 -37.289072499,144.167087 -37.289227999,144.1668265 -37.2892135,144.1664835 -37.289163501,144.166530501 -37.2890225,144.166822 -37.2890465,144.167139999 -37.288929001)))",2005,+/- 5m,Satellite imagery,Loddon,4070001,Town Rural Storage,1.32497733,1277.70093016,AllVicPoly185697,189257,Y,Y,-37.289228,144.1664835,164.631,1276.2595590484116
