B2,B3,B4,B8,class_3,class_2,.geo,Contributor,coordinates
671.5,977.5,1313.0,2288.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.9007211212283, -37.81283017020722]}",AK,"[143.9007211212283, -37.81283017020722]"
614.5,980.5,1099.0,2040.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.97626943662274, -37.75677529647817]}",AK,"[143.97626943662274, -37.75677529647817]"
1170.0,1586.0,2108.0,2721.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.85616468313597, -37.94200790806361]}",AK,"[143.85616468313597, -37.94200790806361]"
736.5,1074.0,1665.0,2628.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.97114903950327, -37.74770231210856]}",AK,"[143.97114903950327, -37.74770231210856]"
783.0,1064.0,1472.0,2478.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [147.39184380990199, -37.89313955660751]}",AK,"[147.39184380990199, -37.89313955660751]"
1570.0,1571.0,1544.0,2836.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [152.33994405788914, -27.554878109317997]}",AK,"[152.33994405788914, -27.554878109317997]"
933.5,1349.0,1977.0,2764.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.7144105313019, -37.892600567437036]}",AK,"[143.7144105313019, -37.892600567437036]"
1056.0,1509.0,2173.0,3084.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.71548850964285, -37.89358871424957]}",AK,"[143.71548850964285, -37.89358871424957]"
1310.0,1552.0,1976.0,2964.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.7271666083364, -37.91146518840355]}",AK,"[143.7271666083364, -37.91146518840355]"
479.0,749.0,964.0,1667.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.89344476742693, -37.80851825684345]}",AK,"[143.89344476742693, -37.80851825684345]"
236.0,383.5,371.0,1943.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [141.64801588324175, -38.2102448519017]}",RJ,"[141.64801588324175, -38.2102448519017]"
1123.0,1785.0,2341.0,2903.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.72761576597847, -37.89385820883481]}",AK,"[143.72761576597847, -37.89385820883481]"
752.5,1088.0,1624.0,2729.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [141.59393730313778, -38.13307956899583]}",RJ,"[141.59393730313778, -38.13307956899583]"
361.5,640.0,650.5,1319.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.97770674107733, -37.73270044686376]}",AK,"[143.97770674107733, -37.73270044686376]"
396.0,605.0,833.0,1337.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.95524885897436, -37.74922944809156]}",AK,"[143.95524885897436, -37.74922944809156]"
862.0,1259.0,1653.0,3185.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.9532725653493, -37.73584455035818]}",AK,"[143.9532725653493, -37.73584455035818]"
990.5,1589.0,1928.0,3391.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [150.9575266671576, -23.80620842868723]}",AK,"[150.9575266671576, -23.80620842868723]"
2050.0,2158.0,1938.0,2304.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [146.777126660979, -38.15401031511582]}",NK,"[146.777126660979, -38.15401031511582]"
761.0,993.0,1296.0,2548.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [146.90612473577858, -37.87984449040254]}",AK,"[146.90612473577858, -37.87984449040254]"
992.5,1375.0,2030.0,3167.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.97716775190688, -37.75902108468846]}",AK,"[143.97716775190688, -37.75902108468846]"
722.0,1062.0,1230.0,2310.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.29642900388293, -36.77222174508317]}",EG,"[144.29642900388293, -36.77222174508317]"
530.0,884.0,1106.0,3304.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.30038159113306, -36.753177461059835]}",EG,"[144.30038159113306, -36.753177461059835]"
1282.0,1738.0,2042.0,2834.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.31295800511074, -36.754165607872366]}",EG,"[144.31295800511074, -36.754165607872366]"
819.5,1177.0,1723.0,3046.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.8878752126654, -37.79872662024655]}",AK,"[143.8878752126654, -37.79872662024655]"
662.0,1035.0,1261.0,1920.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.66787779958452, -37.87679021843653]}",AK,"[143.66787779958452, -37.87679021843653]"
798.5,1127.0,1527.0,2387.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.95623700578687, -37.75713462259181]}",AK,"[143.95623700578687, -37.75713462259181]"
777.0,1084.0,1490.0,2214.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.16105289056614, -36.81129845994237]}",MB,"[144.16105289056614, -36.81129845994237]"
761.0,984.0,1356.0,2294.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [147.38043520579367, -37.93545020648954]}",AK,"[147.38043520579367, -37.93545020648954]"
1960.0,1942.0,1962.0,2551.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [152.3450644550086, -27.5624239577046]}",AK,"[152.3450644550086, -27.5624239577046]"
734.5,965.0,1288.0,2541.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.5723868848826, -37.93724683705778]}",AK,"[143.5723868848826, -37.93724683705778]"
797.5,1116.0,1589.0,2554.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.9495894726844, -37.754799002853105]}",AK,"[143.9495894726844, -37.754799002853105]"
989.5,1449.0,2146.0,3083.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.6804542135622, -37.874274935641]}",AK,"[143.6804542135622, -37.874274935641]"
789.5,1277.0,1834.0,2008.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.88967184323363, -37.812291181036755]}",AK,"[143.88967184323363, -37.812291181036755]"
950.0,1202.0,1369.0,1881.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [141.60184247763803, -38.34669894355945]}",RJ,"[141.60184247763803, -38.34669894355945]"
658.0,912.0,1282.0,2542.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [147.35519254630992, -37.93275526063718]}",AK,"[147.35519254630992, -37.93275526063718]"
716.0,1010.0,1527.0,2433.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.96935240893504, -37.747612480580145]}",AK,"[143.96935240893504, -37.747612480580145]"
1687.0,1539.0,1506.0,2490.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [152.34102203623007, -27.554967940846407]}",AK,"[152.34102203623007, -27.554967940846407]"
