system:index,B2,B3,B4,B8,class,.geo
1_000000000000000000ea_6_0,4419,4212,4054,4865,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.64929639604878,-38.50731771636003]}"
1_0000000000000000000a_6_0,341.5,692,786.5,833,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.34772280660616,-36.8288156079827]}"
1_00000000000000000014_3_0,977,1541,2157,3207,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.55496871693438,-36.13792132296638]}"
1_000000000000000000ab_4_0,452.5,786.5,979,2105,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.8296689565363,-36.57423305646323]}"
1_00000000000000000096_4_0,2979,3719,4280,4560,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.25689398281799,-34.74050206699005]}"
1_000000000000000001ce_7_0,1113,1718,2469,3102,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.04785601620335,-35.34659538918549]}"
1_0000000000000000010a_4_0,3443,3118,3599,3596,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.39344705456784,-38.25857421418733]}"
1_00000000000000000192_8_0,119.5,246.5,261.5,1472,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31134103759933,-37.56372734192088]}"
1_000000000000000001af_6_0,532.5,973.5,1314,1085,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.2149426590496,-37.63640104840615]}"
1_00000000000000000059_0_0,3370.5,3285,3093,3363,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5042184776635,-36.45314015616392]}"
1_0000000000000000006e_9_0,1109,1406,1688,2527,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.63023381489805,-36.23161560710004]}"
1_00000000000000000003_9_0,579,821,1184,1970,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.37071967787963,-37.907602432681834]}"
1_00000000000000000091_5_0,7196,6876,6700,6948,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.60348231655868,-38.62769196443204]}"
1_000000000000000000aa_2_0,647.5,927.5,1364,2124,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.00913405317596,-36.87849244319451]}"
1_00000000000000000128_2_0,2876,3104,3292,4384,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.63393063040849,-38.504083781337194]}"
1_000000000000000000ee_3_0,763,1118,1450,2728,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.5205540929889,-35.89887962586217]}"
1_00000000000000000034_1_0,897,1264,1730,2806,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.09556113207196,-37.576213924370144]}"
1_000000000000000001cb_1_0,506,778,866,1144,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.83129049832957,-36.63477950661289]}"
1_000000000000000000ea_5_0,4221,4090,3940,4677,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.64920656452037,-38.50758721094526]}"
1_0000000000000000013f_3_0,429,728,826.5,2760,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.67643009191104,-37.723268136380504]}"
1_0000000000000000010d_9_0,679,925.5,1282,2162,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.43412701409292,-36.46068600455052]}"
