Ref,Sites,date,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_B8A,Band_11,Band_12,Area_in_m2
Ollivier,,2019-01-06,927.2136563876653,1078.724669603524,1401.716960352423,1752.8381057268725,2370.3953744493397,3068.984581497797,3507.854625550661,3824.2698237885465,4053.485682819383,4022.2962555066088,4905.493392070485,3457.2169603524226,12856.172995534198
Ollivier,,2019-01-06,832.6600928074247,1026.560324825986,1320.7877030162415,1670.262180974478,2161.5846867749424,2653.495359628771,2985.0000000000005,3267.541763341067,3359.314385150812,3448.8793503480283,4814.421113689096,3379.6299303944315,12075.676118457386
Ollivier,,2019-01-06,756.092807424594,902.0232018561483,1160.1771075019333,1378.4582366589325,1841.438128383604,2342.9570765661256,2645.1825212683684,2854.6875483372,3085.779582366589,2986.65158546017,3818.619489559164,2592.1747873163185,36581.58378777409
Ollivier,,2019-01-06,833.8411885245903,932.8350409836066,1252.5676229508197,1344.342213114754,2027.9149590163938,3068.0194672131156,3538.515368852459,3817.419057377049,3914.828893442623,3982.276639344262,4417.376024590164,2974.936475409836,13890.481531576406
Ollivier,,2019-01-06,4823.545454545455,5314.2547699214365,5150.5746352413025,5158.129068462403,5541.75420875421,5736.484848484849,5870.471380471382,6304.481481481482,7154.375982042649,6048.22334455668,6122.287317620651,5442.7620650953995,12540.669275520859
Ollivier,,2019-01-06,3121.4836158192093,3336.9231638418078,3369.881355932203,3500.9446327683613,4027.489265536723,4541.676836158192,4831.089265536724,5181.899435028248,5581.125423728813,5145.883615819208,5230.525423728814,4213.189830508473,12476.111064877996
Ollivier,,2019-01-06,5060.07857911733,4836.574811625404,4807.696447793326,4956.871905274488,5354.536060279871,5515.066738428417,5653.990312163617,5889.073196986006,7256.51345532831,5823.074273412271,5892.980624327233,5423.452099031216,13022.225890866364
Ollivier,,2019-01-06,1442.8938640132671,1955.909618573798,2062.284411276949,2267.932835820896,2695.065505804312,3149.1890547263683,3435.4825870646773,3806.2719734660045,3843.239635157546,3830.9320066335004,4303.533167495854,3032.171641791045,17018.031634488023
Ollivier,,2019-01-06,1156.68954593453,1097.7602956705387,1098.8627243928192,1148.363252375924,1309.1869060190077,1529.08025343189,1670.9376979936637,1896.0242872228087,1999.079197465681,1820.6071805702215,2250.135163674762,1643.8141499472015,13477.954468628443
Ollivier,,2019-01-06,4153.3,4577.791463414634,4165.667073170732,3956.7597560975605,4036.0170731707312,3938.353658536585,3931.524390243902,4566.032926829268,4583.012195121951,3914.6268292682926,4231.89756097561,3389.673170731707,11507.555550332887
Ollivier,,2019-01-06,5341.353142857143,5756.905142857143,5310.215999999999,5090.828571428572,5207.6148571428575,5059.761142857143,5024.0388571428575,5593.366857142857,5890.192,4970.141714285714,4983.913142857143,4121.996571428572,12233.573808152218
Ollivier,,2019-01-06,4080.238144329897,3847.99587628866,3629.5041237113396,3597.3659793814427,3756.132989690721,3769.1432989690716,3861.7288659793817,3972.465979381444,4534.367010309278,3923.922680412371,4167.974226804124,3485.722680412371,13732.039433030774
Ollivier,,2019-01-06,6839.002272727272,6733.978409090908,6323.261363636363,6131.647727272727,6318.1113636363625,6127.91477272727,6115.737499999998,6435.022727272726,7686.680681818181,6051.4522727272715,5630.404545454545,4642.828409090908,12437.1334796788
Ollivier,,2019-01-06,5933.647249190938,5692.798058252427,5371.280258899676,5262.094498381877,5446.0097087378645,5352.900970873787,5377.732686084142,5577.853721682847,6751.915857605179,5356.429773462783,5214.344983818771,4537.522977346279,21870.512138321155
Ollivier,,2019-01-06,6818.428909952607,6364.731042654029,6036.620853080569,5917.105450236967,6128.619668246446,5997.001184834125,6020.451421800948,6126.913507109006,7683.462085308057,5986.327014218011,5507.669431279622,4664.039099526066,11851.229159598393
Ollivier,,2019-01-06,5942.078618662749,5910.660543717857,5553.5701689933885,5410.106539309333,5576.238795003675,5438.8442321822195,5440.339456282146,5803.124173401911,6704.793534166054,5415.989713445996,5319.1454812637785,4491.449669360765,19276.758517180464
Ollivier,,2019-01-06,4679.4518779342725,4384.050469483568,4156.879107981221,4126.429577464789,4310.549295774647,4290.846244131455,4374.593896713615,4549.683098591549,5362.3626760563375,4420.948356807511,4561.151408450704,3949.274647887324,12044.05148941241
Ollivier,,2019-01-06,5562.188811188813,5461.584304584306,5155.431235431236,5068.476301476303,5256.024087024088,5162.444444444446,5197.0404040404055,5443.769230769231,6295.547785547787,5203.952602952604,5124.64568764569,4379.135975135976,18157.529407287722
Ollivier,,2019-01-06,8787.805970149255,8371.231343283582,7868.332089552239,7635.386815920397,7885.272388059702,7622.174129353234,7549.842039800996,7874.481343283582,9719.606965174129,7471.536069651742,6266.276119402985,4950.782338308458,11299.119381486049
Ollivier,,2019-01-06,5268.8512981904005,5035.579071597168,4781.4539732494095,4732.54602675059,4952.265145554681,4904.2525570417,4958.189614476791,5154.52871754524,5960.129819040126,5021.619197482298,4952.45397324941,4166.839496459481,18044.32869392219
Ollivier,,2019-01-06,7650.058219178083,7213.530821917809,6877.086757990868,6777.789954337899,7031.089041095891,6861.281963470321,6863.484018264839,7052.634703196348,8538.447488584476,6840.57191780822,6064.043378995434,5086.2054794520545,12313.600167727223
Ollivier,,2019-01-06,8371.56166056166,8085.575091575092,7612.136752136753,7366.663003663003,7585.1721611721605,7332.338217338217,7259.846153846154,7606.092796092796,9130.537240537242,7196.455433455433,6180.059829059829,4827.757020757021,11556.318467998623
Ollivier,,2019-01-06,6366.3639417693175,6099.133258678611,5773.996640537514,5674.936170212765,5865.896976483764,5747.226203807391,5757.320268756998,5987.948488241881,7233.837625979844,5757.515117581187,5469.020156774915,4530.683090705487,12689.535701642602
Ollivier,,2019-01-06,6513.088127294982,6389.805385556916,5985.869033047736,5836.337821297429,6010.555691554468,5867.687882496942,5876.793145654835,6204.534883720931,7293.57405140759,5860.1481028151775,5585.068543451654,4702.712362301102,11428.666141272011
Ollivier,,2019-01-06,8985.226926333617,8424.35732430144,7938.740897544454,7730.652836579171,7937.542760372567,7677.856054191365,7641.876375952585,7853.9348010160875,9673.57070279424,7542.082133784928,6291.624047417445,5014.884843353091,16519.10401768665
Ollivier,,2019-01-06,5614.193657984144,5921.030577576444,5427.633069082673,5217.159682899207,5347.659116647791,5217.645526613816,5216.031710079275,5681.481313703283,5924.278595696489,5202.909399773499,5083.689694224235,4285.097395243488,12488.534555897006
Ollivier,,2019-01-06,6042.2827160493825,5916.648148148148,5569.650617283951,5486.928395061729,5688.579012345678,5579.759259259259,5605.556790123456,5873.067901234568,6622.63086419753,5643.102469135803,5547.251851851853,4753.472839506174,11446.706837877651
Ollivier,,2019-01-06,6433.403981264638,5783.7939110070265,5617.834894613583,5652.720140515224,5909.1861826697905,5843.18149882904,5896.735362997659,5969.72599531616,7178.238875878221,5982.78337236534,5780.160421545668,5034.503512880563,12157.308192335442
Ollivier,,2019-01-06,5792.674074074076,5516.257142857144,5282.088888888889,5273.899470899472,5486.593650793652,5398.807407407408,5458.64232804233,5637.655026455028,6289.022222222225,5502.3947089947105,5445.524867724868,4630.025396825397,13276.89619968988
Ollivier,,2019-01-06,595.4592326139087,815.1906474820144,1079.9076738609112,1452.2649880095921,1798.5167865707433,2141.0383693045565,2384.4460431654675,2618.665467625899,2724.3980815347722,2735.038369304556,3786.393285371703,2644.41247002398,11940.771331028236
Ollivier,,2019-01-06,566.725768321513,765.5910165484631,1037.2860520094562,1432.3226950354606,1777.4349881796688,2082.1867612293145,2309.7470449172574,2542.936170212766,2726.0460992907797,2644.5543735224583,3658.7943262411345,2492.269503546099,11948.552065924758
Ollivier,,2019-01-06,638.7584204413473,889.2926829268293,1202.5296167247386,1675.313588850174,2034.4367015098721,2345.432055749129,2591.800232288037,2868.6457607433217,2993.7259001161437,2972.0139372822305,3955.7932636469222,2720.7270615563298,12155.519683540895
Ollivier,,2019-01-06,602.1728538283063,848.447795823666,1135.1925754060328,1596.6287703016246,1924.4872389791187,2157.756380510441,2396.1624129930397,2654.7517401392115,2799.6357308584693,2784.4640371229702,3839.613689095128,2836.4408352668215,12090.807360050816
Ollivier,,2019-01-06,548.1779359430604,707.103202846975,972.7793594306049,1333.5373665480427,1691.6903914590744,2091.4816132858837,2344.379596678529,2567.122182680902,2714.0984578884936,2693.136417556346,3645.190984578885,2407.180308422301,11922.217021044526
Ollivier,,2019-01-06,557.651911468813,761.3309859154929,1020.4255533199197,1423.1539235412477,1712.9336016096577,1972.9446680080482,2196.8470824949695,2426.744466800805,2581.3521126760565,2557.8118712273645,3816.123742454729,2673.527162977867,14008.131192058285
Ollivier,,2019-01-06,565.5316315205328,797.328523862375,1082.6981132075473,1524.9622641509434,1845.460599334073,2122.3729189789124,2380.397336293008,2633.1664816870148,2712.4039955604885,2750.426193118757,3972.931187569368,2724.326304106549,12653.161068057554
Ollivier,,2019-01-06,496.57910447761196,645.366169154229,886.9631840796019,1174.8507462686566,1486.7691542288558,1784.7771144278609,1994.731343283582,2189.052736318408,2382.6119402985078,2298.630845771145,3264.858706467662,2242.337313432836,14115.64110537633
Ollivier,,2019-01-06,554.5300353356889,736.891637220259,988.8892815076559,1336.4723203769136,1684.770318021201,2061.6442873969368,2333.142520612485,2573.0011778563007,2728.0388692579495,2708.585394581861,3930.2767962308594,2676.5830388692575,12040.293516255191
Ollivier,,2019-01-06,572.2189473684209,755.2715789473684,1021.001052631579,1336.1115789473681,1657.8273684210526,1967.1600000000003,2188.4536842105263,2386.7894736842104,2492.0821052631577,2477.903157894737,3617.1715789473683,2551.867368421053,13425.838857516159
Ollivier,,2019-01-06,491.3224669603523,655.1048458149779,916.4211453744493,1169.9603524229074,1505.5330396475767,1914.729515418502,2135.389427312775,2328.238766519824,2477.5947136563873,2427.592070484581,3376.769162995595,2244.8096916299555,15979.876140599303
Ollivier,,2019-01-06,531.747909199522,717.5591397849461,941.5615292712066,1236.495818399044,1529.427718040621,1850.7921146953404,2053.3978494623652,2265.47550776583,2341.253285543608,2362.432497013142,3762.2258064516127,2691.1362007168455,11805.622309556455
Ollivier,,2019-01-06,456.904810644831,574.4800409416581,827.1197543500513,915.0614124872059,1450.1136131013307,2343.8249744114632,2698.326509723644,2924.0808597748205,3000.083930399181,3016.42681678608,2712.516888433981,1812.9140225179117,13895.793595759209
Ollivier,,2019-01-06,613.9083820662768,776.7865497076024,1009.8323586744639,1308.9522417153994,1632.5750487329435,1994.562378167641,2224.1052631578946,2420.3021442495133,2554.1588693957115,2544.7612085769983,3748.4619883040937,2507.384015594542,14606.455896621155
Ollivier,,2019-01-06,656.6354430379747,846.2949367088609,1123.1481012658228,1502.6227848101266,1845.9354430379753,2132.9708860759497,2362.1075949367096,2582.37088607595,2697.535443037975,2696.6126582278484,3988.5658227848107,2847.00253164557,11217.02431913454
Ollivier,,2019-01-06,655.7406143344709,853.9260523321956,1155.7713310580202,1498.9169510807733,1924.2480091012512,2337.7690557451647,2614.6825938566553,2822.592718998862,3030.0250284414105,2968.9089874857796,3863.3287827076224,2720.8225255972693,12476.606714720292
Ollivier,,2019-01-06,471.2280701754386,620.5631578947368,831.8236842105263,1110.0622807017544,1430.2587719298242,1780.966666666667,1991.5201754385964,2210.0807017543852,2269.964035087719,2299.5824561403506,3242.4368421052636,2151.5745614035086,16023.066205097366
Ollivier,,2019-01-06,964.0729517396184,1072.7732884399552,1348.9147025813688,1740.2109988776654,2111.95061728395,2471.3613916947256,2723.3692480359146,2916.80583613917,3088.8945005611668,3076.8361391694725,3901.742985409652,2728.3423120089788,12485.296280454373
Ollivier,,2019-01-06,770.1210121012101,926.2849284928492,1167.9900990099009,1478.515951595159,1825.2992299229923,2234.3509350935096,2482.035203520352,2718.1815181518155,2920.323432343235,2798.614961496149,3613.1914191419137,2640.8041804180416,12747.810602727504
Ollivier,,2019-01-06,660.4620024125452,754.7696019300362,978.9119420989142,1176.8841978287091,1524.0036188178528,1964.6043425814232,2176.632086851628,2375.850422195416,2404.468033775633,2415.168878166465,2846.793727382388,1865.6670687575388,11733.02666162472
Ollivier,,2019-01-06,534.163783160323,692.2249134948097,946.0899653979238,1299.722029988466,1640.854671280277,1957.3402537485583,2194.3494809688577,2297.4786620530563,2513.031141868512,2515.441753171857,3452.0034602076125,2245.071510957324,12214.392093065007
Ollivier,,2019-01-06,529.2411347517731,687.6879432624114,929.4763593380616,1244.9137115839244,1513.8534278959814,1742.7104018912528,1926.229314420804,2037.8451536643029,2290.131205673759,2190.5567375886526,3038.4125295508275,2073.77304964539,12016.47520225697
Ollivier,,2019-01-06,539.3606911447085,739.5701943844493,1001.9038876889848,1353.4751619870412,1735.9265658747302,2154.6954643628515,2403.154427645789,2607.8941684665224,2763.2721382289424,2773.5248380129588,3780.4686825053996,2566.443844492441,13057.106801808062
Ollivier,,2019-01-06,607.6917293233082,773.3512352309345,1030.8721804511279,1352.722878625134,1762.5531686358752,2203.4887218045114,2482.8453276047258,2729.328678839957,2917.1020408163263,2876.517722878625,3791.668098818475,2652.1482277121377,13194.135616763306
Ollivier,,2019-01-06,752.5182724252493,1017.9424141749722,1372.0963455149506,1861.0243632336656,2257.383167220377,2592.3842746400887,2869.5692137320043,3116.388704318937,3274.666666666667,3241.6234772978955,4345.755260243632,3113.611295681063,12724.455431057802
Ollivier,,2019-01-06,695.0288568257491,892.9356270810212,1193.6115427302996,1640.7913429522753,1909.4716981132076,2116.379578246393,2348.7869034406217,2555.8745837957827,2709.3107658157605,2680.250832408435,4383.9866814650395,3378.0776914539406,12634.716569274948
Ollivier,,2019-01-06,604.2447058823531,794.6952941176471,1037.0294117647059,1420.8105882352943,1711.3741176470592,1947.5823529411764,2162.06705882353,2396.4647058823534,2529.3305882352943,2464.1776470588234,3709.923529411765,2584.090588235294,11940.166477727773
Ollivier,,2019-01-06,577.658024691358,820.9506172839506,1092.9098765432097,1464.9395061728394,1785.882716049383,2044.9777777777779,2260.267901234568,2478.0753086419754,2528.7012345679013,2599.144444444444,3738.2308641975314,2580.076543209877,11481.366864255857
Ollivier,,2019-01-06,518.8885245901639,649.2688524590162,879.6480874316941,1175.1475409836064,1500.7442622950823,1813.9781420765025,2024.8153005464478,2166.3846994535515,2373.3956284153005,2329.185792349727,3430.024043715847,2277.097267759563,12963.476418137832
Ollivier,,2019-01-06,629.3862375138735,883.5283018867925,1235.0699223085462,1666.0921198668148,2087.426193118757,2409.5849056603774,2681.9933407325193,2923.9278579356273,3177.3340732519423,3064.356270810211,4220.7669256381805,2926.0899001109874,12647.407113375188
Ollivier,,2019-01-06,656.7097560975611,845.2780487804879,1120.930487804878,1500.2487804878049,1843.2743902439024,2132.6195121951223,2363.0024390243907,2583.5487804878053,2699.8939024390243,2699.4841463414637,3995.206097560976,2849.217073170732,11701.438483041096
ANU.Fieldwork,,2019-01-08,897.4,829.7644768856447,1152.1469586374694,1380.5766423357666,1732.6934306569342,2132.4068126520688,2350.004379562044,2271.4997566909974,2627.908029197081,2641.0170316301696,3468.12798053528,2404.155717761557,29241.956368506453
ANU.Fieldwork,,2019-01-08,460.97568710359417,552.1384778012686,780.076109936575,962.6775898520086,1371.1067653276955,2023.0412262156449,2306.6701902748414,2388.736786469344,2711.0401691331917,2697.819238900635,3339.23890063425,2191.260042283298,13379.518607211932
ANU.Fieldwork,,2019-01-08,520.5343750000001,636.3333333333335,890.4322916666666,1216.5281249999998,1581.1010416666666,1867.8875,2100.126041666667,2237.5114583333334,2518.644791666667,2547.1458333333335,4117.005208333333,2839.1979166666665,13719.030801308172
Ollivier,,2019-01-11,737.0795580110498,955.060773480663,1341.422099447514,1831.4961325966851,2168.3071823204423,2425.365745856354,2612.0729281767963,2801.4276243093923,2839.965745856354,2928.1292817679564,3669.5723756906077,2677.693922651934,12871.79163243853
Ollivier,,2019-01-11,618.6308376575241,807.6456634544107,1111.8636026686436,1526.083024462565,1760.8606375092666,1943.2920681986654,2082.2564862861377,2241.1030392883617,2361.3676797627872,2350.2564862861377,3206.365455893254,2218.6019273535953,19017.06117443816
Ollivier,,2019-01-11,772.1292585170339,975.1783567134268,1264.7184368737474,1606.9038076152306,1921.7875751503004,2165.907815631262,2344.127254509018,2511.4699398797593,2527.5490981963926,2611.1833667334663,3481.4659318637277,2668.482965931864,14120.516944138284
Ollivier,,2019-01-11,740.185223725286,916.2695109261185,1224.2206035379813,1669.1779396462016,1925.8335067637877,2096.3298647242455,2270.9625390218516,2482.77627471384,2555.392299687825,2580.259105098855,3882.9802289282,2961.725286160249,13502.591508607746
Ollivier,,2019-01-11,841.9745347698333,1048.1674828599412,1358.8814887365324,1831.8442703232129,2109.3986287952985,2263.7267384916745,2442.485798237023,2668.427032321254,2733.4828599412344,2776.7384916748288,4239.031341821744,3186.6170421155734,14393.147755512295
Ollivier,,2019-01-11,778.3844696969697,912.8986742424245,1204.854166666667,1625.7481060606065,1870.72821969697,2002.688446969697,2180.2092803030305,2380.4801136363635,2560.4554924242425,2478.997159090909,3912.3958333333344,3119.982007575758,14822.350509772465
Ollivier,,2019-01-11,777.7164667393674,991.3893129770992,1349.9105779716467,1861.7600872410032,2122.6106870229005,2214.687022900763,2356.9520174482004,2524.0021810250814,2693.6041439476553,2610.6401308615045,3636.866957470011,2716.8974918211557,12940.201203947125
Ollivier,,2019-01-11,902.0510585305108,1075.3524283935242,1354.86301369863,1789.8318804483188,2034.882938978829,2155.5130759651306,2317.1793275217933,2537.2291407222915,2697.430884184309,2640.2303860523034,3939.2141967621424,3203.184308841843,11267.757718298468
Ollivier,,2019-01-11,706.8988372093024,829.5441860465118,1040.0825581395347,1413.5313953488371,1612.8267441860462,1706.4360465116276,1853.5511627906976,2048.779069767442,2197.4244186046517,2167.3151162790696,3807.0941860465114,3126.737209302326,12089.693757729507
Ollivier,,2019-01-11,709.4053426248549,860.0174216027875,1135.6713124274102,1430.4912891986064,1688.7758420441346,1961.9303135888504,2100.6353077816493,2244.961672473868,2323.4355400696863,2300.8675958188155,3008.918699186992,2703.228803716609,12194.03937532646
Ollivier,,2019-01-11,718.1622641509434,946.6188679245282,1294.6251572327044,1781.7496855345912,2038.2817610062893,2171.652830188679,2334.1647798742138,2535.925786163522,2554.9106918238995,2617.070440251572,3627.710691823899,2826.9572327044025,11360.717133818647
Ollivier,,2019-01-11,726.0862697448358,923.4362089914946,1217.1020656136086,1639.7363304981773,1890.2928311057108,2064.646415552855,2233.078979343864,2435.388821385176,2494.7837181044956,2517.2417982989064,3660.5929526123937,2876.9647630619684,11570.440371086128
Ollivier,,2019-01-11,769.8952380952383,1104.4306878306882,1560.4052910052912,2235.44126984127,2558.322751322751,2693.1322751322755,2877.885714285715,3119.1291005291005,3264.8042328042334,3218.41164021164,4283.438095238096,2998.252910052911,13312.999980105553
Ollivier,,2019-01-11,798.3465176268273,952.2149613069646,1252.8521066208084,1705.237317282889,1961.1031814273433,2115.613069647464,2298.6070507308687,2492.098882201204,2614.20894239037,2629.300945829751,4096.535683576956,3304.182287188307,16519.10401768665
Ollivier,,2019-01-11,693.7670454545457,807.4818181818184,1118.948863636364,1526.8000000000004,1870.4238636363639,2250.4431818181824,2500.7284090909093,2753.0068181818187,2818.229545454546,2854.985227272728,3976.4113636363645,3159.5693181818187,12488.534555897006
Ollivier,,2019-01-11,779.7822878228783,1023.5781057810581,1342.910209102091,1783.3025830258305,2064.881918819188,2317.9544895448958,2489.5252152521525,2750.971709717097,2796.082410824108,2804.8462484624847,4224.682656826569,3305.0762607626084,11446.706837877651
