Ref,Sites,date,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_B8A,Band_11,Band_12,Area_in_m2
ANU.Fieldwork,,2019-01-13,607.0,767.0,1051.0,1416.0,1746.0,2054.0,2318.0,2384.0,2558.0,2627.0,3975.0,3016.0,127.28473196800431
ANU.Fieldwork,,2019-01-13,604.0,727.0,1045.0,1376.0,1763.0,2147.0,2396.0,2458.0,2629.0,2658.0,3741.0,2838.0,26.68656288661727
ANU.Fieldwork,,2019-01-13,583.0,973.0,1367.0,1797.0,2194.0,2509.0,2810.0,2868.0,2935.0,3070.0,4002.0,3230.0,86.33058319765156
ANU.Fieldwork,,2019-01-13,643.0,1004.0,1472.0,1884.0,2214.0,2519.0,2731.0,2804.0,2874.0,2923.0,3829.0,3283.0,134.8938985663465
ANU.Fieldwork,,2019-01-13,626.0,981.0,1373.0,1799.0,2159.0,2484.0,2741.0,2866.0,2963.0,3044.0,4222.0,3438.0,236.9615409378304
ANU.Fieldwork,,2019-01-13,612.0,775.0,1104.0,1433.0,1777.0,2024.0,2204.0,2210.0,2665.0,2461.0,3460.0,2818.0,307.9828379075076
ANU.Fieldwork,,2019-01-13,628.0,996.0,1425.0,1840.0,2169.0,2353.0,2579.0,2614.0,2672.0,2794.0,3956.0,3349.0,170.18554137690734
ANU.Fieldwork,,2019-01-13,391.7048387096774,526.7516129032257,828.7258064516129,1014.3887096774193,1287.832258064516,1380.4096774193547,1538.9403225806452,1540.8661290322577,1986.506451612903,1666.864516129032,2346.7854838709677,1879.206451612903,8798.199226129254
ANU.Fieldwork,,2019-01-13,755.0336322869956,937.3206278026906,1345.67264573991,1645.9708520179372,1827.3004484304934,1794.6255605381164,1922.8363228699552,1903.7511210762334,2769.594170403587,2016.060538116592,2917.477578475336,2475.881165919283,6399.898498835162
ANU.Fieldwork,,2019-01-13,425.57142857142856,684.5238095238095,942.2380952380952,1245.142857142857,1516.1904761904761,1797.095238095238,1980.095238095238,2089.4761904761904,2235.8571428571427,2209.3333333333335,3225.9047619047615,2379.6666666666665,546.7174364146506
ANU.Fieldwork,,2019-01-13,518.0,869.0,1262.0,1715.0,2080.0,2285.0,2523.0,2646.0,2764.0,2814.0,4033.0,3215.0,220.95465725708817
